population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,493,Ischemic heart disease,2,Percent,2019,0.07254151644957854,0.077391763164374,0.06727690965316066
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,493,Ischemic heart disease,2,Percent,2019,0.05512755671371546,0.06072066617645576,0.050478432449728036
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,493,Ischemic heart disease,3,Rate,2019,17.777119860434333,19.116489395338228,16.364229127502114
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,493,Ischemic heart disease,3,Rate,2019,7.2397411724536465,8.067898043783796,6.576478446274295
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,493,Ischemic heart disease,1,Number,2019,486.9907619340919,519.3892841152111,452.9843043523763
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,493,Ischemic heart disease,1,Number,2019,228.3652063321678,246.58602162142273,207.101263471006
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,493,Ischemic heart disease,2,Percent,2019,0.11832725255349082,0.12550101423388516,0.11189490339048877
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,493,Ischemic heart disease,2,Percent,2019,0.08036578345703176,0.0862362219756143,0.07382815714936265
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,493,Ischemic heart disease,3,Rate,2019,36.02943479150283,38.42640108636591,33.51350730026175
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,493,Ischemic heart disease,3,Rate,2019,15.08911342395399,16.29304441235761,13.684109348132347
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2019,894.3362200486837,939.8943338815831,844.7066374332032
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2019,386.28483256090027,417.01448251523396,358.1421151690488
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,493,Ischemic heart disease,2,Percent,2019,0.16023884674724465,0.16681753834082969,0.15334989196256557
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,493,Ischemic heart disease,2,Percent,2019,0.09660098853936233,0.10318787628979001,0.09066619416225362
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,493,Ischemic heart disease,3,Rate,2019,67.72870897884982,71.17885688099538,63.97022589122236
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,493,Ischemic heart disease,3,Rate,2019,25.719855142511687,27.76591566258387,23.84603936300927
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2019,1417.61911663916,1475.6597532095745,1355.8020924819562
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2019,650.6157147434693,690.67384444002,609.581477292874
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,493,Ischemic heart disease,2,Percent,2019,0.18962622453803168,0.1954356454097687,0.18234337494717412
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,493,Ischemic heart disease,2,Percent,2019,0.12078149213001285,0.12666915820979646,0.11333753982885697
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,493,Ischemic heart disease,3,Rate,2019,120.85513403161264,125.80322539809143,115.58509735373113
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,493,Ischemic heart disease,3,Rate,2019,48.03831488202341,50.99601326578687,45.008545426834914
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,493,Ischemic heart disease,1,Number,2019,2045.8477085288466,2133.7371676630232,1947.9062632408388
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,493,Ischemic heart disease,1,Number,2019,1001.013061712152,1066.621159786825,928.5916649037919
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,493,Ischemic heart disease,2,Percent,2019,0.2126805216032628,0.21932166887238702,0.20429534118724693
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,493,Ischemic heart disease,2,Percent,2019,0.1445998910799822,0.15174047328542006,0.135882887269393
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,493,Ischemic heart disease,3,Rate,2019,218.7864633578982,228.1855128815955,208.31243719192662
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,493,Ischemic heart disease,3,Rate,2019,91.02484332690234,96.99076632695657,84.43936852128792
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,493,Ischemic heart disease,1,Number,2019,2473.4741417759315,2596.6547523664844,2359.728456390342
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,493,Ischemic heart disease,1,Number,2019,1337.6816828973908,1423.8612299538613,1242.388637838104
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,493,Ischemic heart disease,2,Percent,2019,0.21816985793167487,0.22539489012212205,0.20962416448277216
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,493,Ischemic heart disease,2,Percent,2019,0.16078853409778485,0.1695798012410822,0.14868745667678943
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,493,Ischemic heart disease,3,Rate,2019,344.45892571423667,361.61320280014195,328.6185674380762
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,493,Ischemic heart disease,3,Rate,2019,158.6505447349373,168.87153546862592,147.3486829382198
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,493,Ischemic heart disease,1,Number,2019,2749.2799560809385,2892.716395097485,2611.730838591568
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,493,Ischemic heart disease,1,Number,2019,1747.4436408295103,1841.7004097550373,1614.5441780972144
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,493,Ischemic heart disease,2,Percent,2019,0.22014925437819885,0.22827898202602306,0.21077249125150554
