age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
22,male,22_male,2236394.7556413715,0.00205044542041222,0.0701456026354878,1.739647787411576e-5,1.2963148787420006e-4,0.04905064624978973,0.0028421750513875008,2.6993108233647325e-6,1.3921994585949996e-4,0.06370897432154689,0.0023500975950404993,1.7695438186225018e-6,8.815401132825002e-4,0.058536615826119597,0.016195692366587404,0.013324244826764165,0.0031785697194535393,0.02866417472147087,2.031957379933861e-4,0.0018643090027461733,2.661548525904263e-4,0,0,0
23,male,23_male,0,0.0020829346424003,0.07253004299020065,1.9452664986292613e-5,1.4735862151722792e-4,0.04898170825021533,0.003243787954652779,2.8420573986024023e-6,1.4949983055854535e-4,0.06323216881087423,0.0025492560354430567,1.974944847208471e-6,9.795574077340551e-4,0.05914267919205823,0.017858284302361496,0.012982755148730362,0.0029445393352813274,0.02791070784040897,2.142434486260362e-4,0.0019510771817271223,2.8353933568573157e-4,0,0,0
24,male,24_male,0,0.0021019638726613664,0.07504735401174331,2.171531282678005e-5,1.644796802929976e-4,0.04906957001581965,0.003624121621790335,2.929544300409296e-6,1.5951534891124996e-4,0.06244505267374475,0.0027618952608056556,2.200484724912881e-6,0.001079549047310601,0.05966386310117368,0.019562924187739854,0.012692091458825197,0.002757728418321193,0.027407561372811376,2.2620104801083932e-4,0.0020395356906831624,3.024797094267758e-4,0,0,0
25,male,25_male,0,0.0021115299307929536,0.07762611183363209,2.4247631351726202e-5,1.8115935260533004e-4,0.04923845072478826,0.0039891027577343965,2.9933494619792666e-6,1.6963475081282575e-4,0.06155671145241439,0.0029878463349228513,2.468013869402757e-6,0.0011841674729094356,0.060198552147759966,0.021327793380757142,0.012388811501749678,0.002614329517220547,0.0270404237938641,2.3911253945411515e-4,0.0021300071377576128,3.2353450093015087e-4,0,0,0
26,male,26_male,0,0.002115883939078522,0.08018447963807898,2.7135375925578546e-5,1.9786146310707108e-4,0.049412289682777034,0.004353547795409279,3.0697835345000133e-6,1.8034569213947455e-4,0.06076662594217583,0.0032266936128882533,2.809563169299019e-6,0.001297405495912059,0.0608488442251291,0.023181443674758724,0.012118546054606959,0.0025050315664913872,0.026850567565700468,2.520117290887837e-4,0.0022274775468524664,3.467517502176201e-4,0,0,0
27,male,27_male,2122443.8693481735,0.002119382104799626,0.08263002095635338,3.049388087876661e-5,2.1535440875540012e-4,0.04951408075381814,0.004741115361290099,3.199292232557799e-6,1.922663815230999e-4,0.060264574697913784,0.0034777369785431015,3.273317175763805e-6,0.0014248324205608997,0.06172165202260504,0.0251641185790775,0.011909683725012263,0.0024287228687110292,0.026769866693184242,2.668187365935039e-4,0.002331619833087877,3.7077987998323587e-4,0,0,0
28,male,28_male,0,0.002126963781529283,0.08495209082948392,3.450494171121401e-5,2.330650852158022e-4,0.04952570624536855,0.005142719151070189,3.3919536459433814e-6,2.0571173630143147e-4,0.06009442380900585,0.0037408574693268463,3.963470058301181e-6,0.0015683399520726395,0.06285240352937413,0.027268709342091704,0.011727457048256354,0.002376815189721519,0.026798491924834536,2.8251732740625253e-4,0.0024444498170718013,3.967670695626635e-4,0,0,0
29,male,29_male,0,0.002138681974336266,0.08719580413907208,3.926240899800394e-5,2.4997973616767147e-4,0.049498389510393,0.005532624365110037,3.628221919556631e-6,2.2043856206491888e-4,0.06012449104624271,0.004016553950909142,4.9602534477424896e-6,0.0017261661276911627,0.06418307284586153,0.0294631741721242,0.0115805814443178,0.0023488146036398268,0.027016895381378636,2.9967011028871234e-4,0.0025632382958709473,4.250349599506097e-4,0,0,0
30,male,30_male,0,0.0021515663566575214,0.08934433384462111,4.474324966776876e-5,2.6661115798636784e-4,0.04945865324981875,0.005919522909060639,3.9093513213021165e-6,2.3629884266055404e-4,0.06027844499250164,0.0043047727035322335,6.269786692117316e-6,0.0018999692514658486,0.06568452428932961,0.0317639266502037,0.0114615971144136,0.0023371085618547737,0.02726320512307314,3.19543541396691e-4,0.0026879882377075,4.5681030028478736e-4,0,0,0
31,male,31_male,0,0.002162583277764244,0.09138038063685829,5.0858193476766455e-5,2.836870803168781e-4,0.04943297194495429,0.006316120700994597,4.236443998908703e-6,2.5307770538335507e-4,0.06048034897245398,0.004605398172081393,7.8217169255055e-6,0.002091644069282408,0.06732544313718625,0.034192916631160565,0.011396730318889485,0.0023478001326801426,0.02759807441535826,3.4133090028412133e-4,0.0028199884334620074,4.905816413565592e-4,0,0,0
