sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
male_35,0.011479632371775085,0.0024967932288344026,0.02966474291343395,4.6509771253991296e-4,0.0034205925760269033,6.603262770590128e-4,0,0,0
male_36,0.011510623612841935,0.002558613504157382,0.03030726953383158,5.079098101493915e-4,0.0035805225571004635,7.144130381133327e-4,0,0,0
male_37,0.011554753950344006,0.002626135086188401,0.03103260034195518,5.568220527326835e-4,0.003738628330784751,7.723781226769659e-4,0,0,0
male_38,0.011594714523525868,0.0026981504211154974,0.03184027486902506,6.127778013517483e-4,0.0038992792152168793,8.355943562419965e-4,0,0,0
male_39,0.011575111295243436,0.002767429111017106,0.032768434497808675,6.760806331427493e-4,0.0040626052035627564,9.051313858639762e-4,0,0,0
male_40,0.011537677815386775,0.002837762789511424,0.03374011137854856,7.484109687207236e-4,0.004224983169572941,9.828702199131951e-4,0,0,0
male_41,0.011496198451017695,0.002905861032533038,0.03477858064650289,8.298245748938127e-4,0.004388659261118094,0.001067121246626352,0,0,0
male_42,0.011382545296205838,0.0029784897357991967,0.035922179663837435,9.215573844571959e-4,0.004538110501544212,0.001160138811730588,0,0,0
male_43,0.011254704775814164,0.0030461068841028767,0.03717000003662459,0.00102640688677825,0.004689418178086531,0.001263758091136037,0,0,0
male_44,0.0110811332386475,0.003103750110640867,0.03852752842870252,0.0011421909433743777,0.004841404295260305,0.0013761123841948323,0,0,0
male_45,0.010888548415741165,0.0031604079046793306,0.03996627723158442,0.0012714007799547221,0.0049907717805167204,0.0014987213019102307,0,0,0
male_46,0.010642742829194248,0.003208022610497722,0.04140821476185746,0.001416126703163787,0.005147705258088582,0.0016371062740050935,0,0,0
male_47,0.010383234318343633,0.0032447719742582618,0.04285246698395122,0.0015749369955047857,0.005297306660904039,0.0017873623546355321,0,0,0
male_48,0.010134105281554765,0.0032747647269797064,0.044341048705288565,0.0017476931395403756,0.005456411076252311,0.0019485373110623974,0,0,0
male_49,0.009871670742962524,0.0032951000253088774,0.045903143976528823,0.0019394433224885533,0.005615083586557783,0.002127162401084481,0,0,0
male_50,0.009613999526112256,0.0033094297854049754,0.04728678324452899,0.0021476604699629588,0.00579109430205344,0.0023205941361777744,0,0,0
male_51,0.009374961211130094,0.003317746871099668,0.048659955582225654,0.0023737776964523035,0.005968166389812588,0.0025309395407159337,0,0,0
male_52,0.00917049571206729,0.00331876057651368,0.049872575258229745,0.002620902307079913,0.006142897755470904,0.002752183967714241,0,0,0
male_53,0.008988699190856821,0.003319065281955736,0.05087593973596284,0.0028894419692244897,0.006313133004531488,0.0029885204179160903,0,0,0
male_54,0.008839670591984553,0.00331971327344603,0.05168836305956027,0.0031799266806958122,0.0064639298725552045,0.0032412186873870255,0,0,0
male_55,0.008735889424500947,0.003320308680275462,0.05232153288424164,0.003490757415179145,0.006611835900069884,0.003510312643241615,0,0,0
male_56,0.008673445189836168,0.0033271190361699194,0.052727091366534605,0.0038264494829481363,0.006744517755848916,0.003790638213414325,0,0,0
male_57,0.00865181029618902,0.003344739378510364,0.05297159436241712,0.004190308407474827,0.006870325881237883,0.004095915654510359,0,0,0
male_58,0.008675944235227252,0.0033756405087778827,0.0528445811399261,0.004584402780196656,0.006961394692086856,0.004415244644033137,0,0,0
male_59,0.008747026762629131,0.003419374138648399,0.052594111962874474,0.004999619488417283,0.0070145524123220275,0.004751400822551248,0,0,0
male_60,0.008873498009464336,0.0034830440132076965,0.052274591058938336,0.005450986271943374,0.0070375819503733904,0.005112181734108298,0,0,0
male_61,0.00904540047025761,0.0035618842306007537,0.05204313000781832,0.0059451828074792625,0.00699365488356159,0.005477043776916149,0,0,0
male_62,0.00925741225137565,0.0036696009297328275,0.051802150095982054,0.006473982610369142,0.0068949523035845,0.005853251800228244,0,0,0
male_63,0.009513851571670534,0.0038012606460363614,0.051526539976910965,0.007047494124267774,0.006739817251687532,0.006243064107764892,0,0,0
male_64,0.009806952709597173,0.003963745607838991,0.05147762833227127,0.007659029644698192,0.006510204004238405,0.006659592457109837,0,0,0
male_65,0.01014362578688913,0.0041530424526815355,0.051591942691913154,0.008312284848072582,0.006224885701872803,0.007095088048236723,0,0,0
male_66,0.010511184386335989,0.004371633036156006,0.05194021569061196,0.009032677564877654,0.005884374211368238,0.0075362704428094986,0,0,0
male_67,0.010919914626475114,0.004617230275560142,0.05245047835525525,0.009803952421994961,0.0055001259376222175,0.008017358707946,0,0,0
male_68,0.011370061808095952,0.00489715837614377,0.05330670690699013,0.010620501341364184,0.0050791181472980475,0.008497326385628607,0,0,0
male_69,0.01187074089140843,0.005198856383510511,0.05449580966622038,0.011495441488113444,0.004636640077096962,0.009010992847869406,0,0,0
male_70,0.0124285445742244,0.005524485490923514,0.05592949990332048,0.012410197667138198,0.0041833967848168875,0.009549683619267894,0,0,0
male_71,0.013044643532876465,0.00586284622051461,0.05780628240994404,0.013399417628037162,0.003731915193896187,0.010112199269401639,0,0,0
male_72,0.013710560099689783,0.006213127102770333,0.06015786811714936,0.014419714177574707,0.0032912118092081294,0.010694293248291405,0,0,0
male_73,0.014471701423789275,0.006564024008638276,0.06303651701004942,0.015475728207337959,0.0028801934416372156,0.011298486734473374,0,0,0
male_74,0.015302238599237503,0.006904694936941805,0.06639035902096975,0.01655467316095491,0.002494100567400598,0.011950156009820839,0,0,0
